hotel_id,star_number,total_number_reviews,overall_score,location_score,sleep_quality_score,meal_score,service_score,cleanliness_score
32982,5.0,10,9.8,9.2,-1.0,-1.0,10.0,10.0
32985,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32986,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32988,5.0,6,10.0,10.0,-1.0,-1.0,10.0,10.0
32992,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32997,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34273,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33002,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34302,3.0,30,9.5,9.2,9.3,-1.0,9.3,9.3
34322,5.0,16,9.6,9.4,10.0,-1.0,9.7,9.4
34328,-1.0,16,9.5,9.4,9.1,-1.0,9.1,9.4
34329,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34333,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34342,5.0,64,8.584375,7.94375,8.9,-1.0,8.5375,9.05625
34346,3.0,2,7.5,7.5,-1.0,-1.0,7.5,5.0
33013,4.0,21,9.0,8.3,-1.0,-1.0,9.1,9.1
33015,4.0,12,7.8,8.3,-1.0,-1.0,8.3,7.3
33016,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34378,-1.0,10,8.8,9.0,9.5,-1.0,9.5,10.0
34379,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34390,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33017,2.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33020,4.0,14,8.0,8.0,-1.0,-1.0,8.9,8.0
34399,0.0,12,8.6,9.2,9.2,-1.0,8.75,9.2
34411,4.0,20,8.1,8.0,8.0,-1.0,7.75,8.5
34425,5.0,10,9.8,9.5,-1.0,-1.0,9.0,10.0
33028,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34436,0.0,2,10.0,10.0,-1.0,-1.0,10.0,10.0
34437,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34439,3.0,2,6.0,2.5,-1.0,-1.0,5.0,7.5
34440,5.0,12,9.7,9.2,10.0,-1.0,9.6,10.0
34444,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34445,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34457,4.0,80,9.1,9.8,9.1,-1.0,9.35,9.0
34460,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34461,-1.0,12,9.4,9.6,9.2,-1.0,9.2,9.2
34464,4.0,48,7.5,8.1,7.7,-1.0,7.8,7.3
34467,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34472,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33033,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34476,-0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34482,4.0,16,8.8375,9.075000000000001,8.9,-1.0,9.3375,8.462499999999999
33035,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34488,0.0,28,9.8,10.0,10.0,-1.0,9.450000000000001,10.0
34491,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34492,-0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34493,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34494,-1.0,46,9.4,9.5,9.5,-1.0,8.8,9.5
34497,-1.0,34,9.6,9.1,9.7,-1.0,9.6,9.7
33036,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34506,-1.0,8,8.3,8.8,9.4,-1.0,9.4,7.5
34510,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34511,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34512,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34513,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34515,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34521,2.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34524,4.0,2,7.6,7.5,-1.0,-1.0,-1.0,7.5
33039,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34536,4.0,28,8.6,9.3,8.6,-1.0,8.75,8.2
34545,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34546,-0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33041,5.0,4,9.6,9.0,-1.0,-1.0,10.0,10.0
33043,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34558,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34560,-1.0,16,9.9,10.0,10.0,-1.0,10.0,10.0
34563,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33046,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
