hotel_id,min_price
278,940267.0
279,-1.0
280,489720.0
281,395394.0
282,-1.0
283,148500.0
285,1055632.0
286,879694.0
287,-1.0
289,-1.0
290,450000.0
294,665000.0
295,484848.0
296,679000.0
297,-1.0
298,-1.0
300,-1.0
301,-1.0
302,260000.0
304,2088000.0
306,-1.0
307,-1.0
308,-1.0
309,1154080.0
310,245455.0
311,2004172.0
312,478800.0
313,-1.0
315,-1.0
316,412500.0
320,-1.0
321,-1.0
323,-1.0
324,700000.0
325,-1.0
326,846857.0
328,-1.0
329,-1.0
330,540000.0
331,-1.0
332,623700.0
334,707459.0
335,-1.0
336,-1.0
337,300000.0
338,640693.0
339,505319.0
343,497530.0
345,-1.0
346,-1.0
348,-1.0
349,610560.0
350,-1.0
351,909272.0
352,2136415.0
353,400350.0
356,400000.0
357,440260.0
359,-1.0
360,800000.0
362,330000.0
363,-1.0
365,-1.0
367,-1.0
368,336750.0
369,699057.0
370,-1.0
371,1103191.0
372,748990.0
373,4329004.0
374,-1.0
375,294118.0
377,428571.0
378,-1.0
379,-1.0
380,-1.0
381,-1.0
382,3481054.0
384,-1.0
385,-1.0
386,528000.0
387,-1.0
389,691679.0
390,562771.0
391,899687.0
393,1292000.0
396,-1.0
397,1829250.0
398,-1.0
399,245455.0
400,-1.0
401,-1.0
402,593102.0
403,1959318.0
404,876316.0
406,1212121.0
407,373455.0
408,285000.0
409,-1.0
410,588854.0
412,539273.0
415,667522.0
416,1275081.0
417,400000.0
419,277056.0
420,913000.0
422,-1.0
424,-1.0
425,-1.0
426,1082251.0
427,-1.0
428,651600.0
430,1960000.0
431,820000.0
433,558615.0
435,280000.0
436,2770563.0
437,780000.0
438,532405.0
439,299596.0
440,683044.0
441,819000.0
442,-1.0
443,348496.0
445,704762.0
446,1606500.0
447,975600.0
448,259740.0
449,-1.0
450,1223575.0
451,1843621.0
452,302165.0
453,787400.0
454,-1.0
455,597403.0
456,810233.0
457,400481.0
459,-1.0
462,1165600.0
464,935065.0
465,420779.0
466,-1.0
468,630000.0
469,351648.0
470,2805676.0
471,993547.0
473,574334.0
474,3460335.0
475,753247.0
476,227691.0
477,1196800.0
