id,hotel_id,domain_id,domain_hotel_mapping_id
6660ebcc-d660-4694-9580-c75dcac536d7,54,2,47071e5f-05fd-4dca-8ff2-d8317edb7d0f
6660ebcc-d660-4694-9580-c75dcac536d7,54,2,220a61b7-5684-4d1a-aa8a-439b985ca66d
40161637-81f4-415b-af11-44acdf274eb0,58,2,703f0121-cb89-4de1-9745-b0f696117962
40161637-81f4-415b-af11-44acdf274eb0,58,2,e1e9773d-a64f-4a20-8639-a73ec9635bad
5967276b-687b-474e-873f-110fe9857e64,64,2,46dbebb2-54f7-4ce8-93a0-48e6320602a9
5967276b-687b-474e-873f-110fe9857e64,64,2,4c17dbe5-8b47-4c77-bdbd-0dfeefdaf4f8
49aa7c17-8053-4ee0-8821-4583cdc16a00,67,2,edd02226-5b4d-49e0-8682-5521b7cde1e0
49aa7c17-8053-4ee0-8821-4583cdc16a00,67,2,fa1259cf-b827-4bd9-ad7a-39a3297eb3ee
d077c97d-2c89-453c-aac3-5aa119163aa7,70,2,742ae063-0575-4a57-8bf6-5758e18bf333
d077c97d-2c89-453c-aac3-5aa119163aa7,70,2,b6e94e9c-7aea-4b51-9f31-2cec2f4bf8a3
8c4e78ca-2364-4a0c-8513-281a00b89a6a,71,2,cf53155e-d30e-4ef4-9d6d-2130c383e5c5
8c4e78ca-2364-4a0c-8513-281a00b89a6a,71,2,cf53155e-d30e-4ef4-9d6d-2130c383e5c5
8c4e78ca-2364-4a0c-8513-281a00b89a6a,71,2,cf53155e-d30e-4ef4-9d6d-2130c383e5c5
8c4e78ca-2364-4a0c-8513-281a00b89a6a,71,2,cf53155e-d30e-4ef4-9d6d-2130c383e5c5
8c4e78ca-2364-4a0c-8513-281a00b89a6a,71,2,904ca1e0-6105-42a3-ad23-11a2320a571d
7cfb0b54-524c-457b-bb7b-136d28d3694d,74,2,654a4591-de0b-49c8-b2eb-5986ad0f21e9
7cfb0b54-524c-457b-bb7b-136d28d3694d,74,2,cb203561-0f3d-421f-81dd-1ed73877b16f
f89edae6-232b-4e10-951f-80563aabc99c,75,2,d341ae01-22d2-424e-a3e3-4c8f2180b54f
f89edae6-232b-4e10-951f-80563aabc99c,75,2,4fa23ce4-bae6-429b-97bc-b65f4cbb3a23
79b0b1cf-7e3c-434b-bd72-b6a8473576fc,76,2,ce596dcc-f215-4fea-b831-ab2f9b0e9ac8
79b0b1cf-7e3c-434b-bd72-b6a8473576fc,76,2,d85fe1f0-5fea-412e-9fc2-0eb2ed623afa
6389c8fc-08ec-4628-858f-318e1928cd29,78,2,22b12ca2-cb52-4c4d-abd3-15551931c9d4
6389c8fc-08ec-4628-858f-318e1928cd29,78,2,07c6a2e8-14eb-4383-8252-4bcb5bca432a
a499dccb-6e79-4e43-8cf7-3d89d1f337df,79,2,52e85239-7b42-47c1-8fa9-42e28aaf77d8
a499dccb-6e79-4e43-8cf7-3d89d1f337df,79,2,ce8cb3c2-a1e7-4936-ab41-938859f95a6d
f3da4cab-884f-47a7-9341-958001c283ea,80,2,e84f0375-d2cc-4b5d-94b5-e7cbad93aa3f
f3da4cab-884f-47a7-9341-958001c283ea,80,2,2eb0941c-7f6b-466e-9d22-78633bee5807
